order_id,customer_id,customer_name,city,order_date,product_category,quantity,unit_price,payment_method,order_status,total_sales,order_month,sales_level
1001,C001,Customer 001,Tehran,2024-01-05,Electronics,1,1200,Card,Completed,1200,2024-01,High Sales Order
1002,C002,Customer 002,Tehran,2024-01-12,Electronics,2,300,Card,Completed,600,2024-01,Medium Sales Order
1003,C003,Customer 003,Isfahan,2024-02-03,Clothing,3,50,Cash,Completed,150,2024-02,Low Sales Order
1004,C004,Customer 004,Mashhad,2024-02-15,Home,1,450,Online,Returned,450,2024-02,Medium Sales Order
1005,C005,Customer 005,Shiraz,2024-03-01,Beauty,2,80,Card,Completed,160,2024-03,Low Sales Order
1006,C006,Customer 006,Tabriz,2024-03-12,Electronics,1,1500,Online,Completed,1500,2024-03,High Sales Order
1007,C007,Customer 007,Rasht,2024-04-05,Clothing,4,40,Cash,Completed,160,2024-04,Low Sales Order
1008,C008,Customer 008,Tehran,2024-04-18,Home,2,600,Card,Completed,1200,2024-04,High Sales Order
1009,C009,Customer 009,Isfahan,2024-05-02,Beauty,3,70,Online,Cancelled,210,2024-05,Low Sales Order
1010,C010,Customer 010,Mashhad,2024-05-17,Electronics,1,2000,Card,Completed,2000,2024-05,High Sales Order
1011,C011,Customer 011,Shiraz,2024-06-01,Home,2,500,Cash,Completed,1000,2024-06,High Sales Order
1012,C012,Customer 012,Tabriz,2024-06-10,Clothing,3,45,Card,Completed,135,2024-06,Low Sales Order
1013,C013,Customer 013,Rasht,2024-06-25,Beauty,1,90,Online,Completed,90,2024-06,Low Sales Order
1014,C014,Customer 014,Tehran,2024-07-02,Electronics,2,1300,Card,Completed,2600,2024-07,High Sales Order
1015,C015,Customer 015,Isfahan,2024-07-15,Home,1,700,Online,Returned,700,2024-07,Medium Sales Order
1016,C016,Customer 016,Mashhad,2024-08-01,Clothing,3,55,Cash,Completed,165,2024-08,Low Sales Order
1017,C017,Customer 017,Shiraz,2024-08-12,Beauty,2,85,Card,Completed,170,2024-08,Low Sales Order
1018,C018,Customer 018,Tabriz,2024-08-25,Electronics,1,2500,Online,Completed,2500,2024-08,High Sales Order
1019,C019,Customer 019,Rasht,2024-09-04,Home,2,650,Cash,Completed,1300,2024-09,High Sales Order
1020,C020,Customer 020,Tehran,2024-09-20,Clothing,4,60,Card,Completed,240,2024-09,Low Sales Order
1021,C021,Customer 021,Isfahan,2024-10-01,Beauty,1,95,Online,Cancelled,95,2024-10,Low Sales Order
1022,C022,Customer 022,Mashhad,2024-10-15,Electronics,2,1800,Card,Completed,3600,2024-10,High Sales Order
1023,C023,Customer 023,Shiraz,2024-11-03,Home,1,750,Cash,Completed,750,2024-11,Medium Sales Order
1024,C024,Customer 024,Unknown,2024-11-18,Clothing,2,50,Online,Completed,100,2024-11,Low Sales Order
1025,C025,Customer 025,Tehran,2024-12-05,Beauty,3,100,Unknown,Completed,300,2024-12,Medium Sales Order
